ALUMNO;Anyo1;Conv1;TipoBach1;NotaBach1;Notaacceso1;MatCCSS1;MatII1;Anyo2;Conv2;TipoBach2;NotaBach2;Notaacceso2;MatCCSS2;MatII2;Anyo3;Conv3;TipoBach3;NotaBach3;Notaacceso3;MatCCSS3;MatII3;Anyo4;Conv4;TipoBach4;NotaBach4;Notaacceso4;MatCCSS4;MatII4;Anyo5;Conv5;TipoBach5;NotaBach5;Notaacceso5;MatCCSS5;MatII5;Anyo6;Conv6;TipoBach6;NotaBach6;Notaacceso6;MatCCSS6;MatII6
1;2009-10;JUN;GRHC;6,29;;1,75;;2009-10;SEP;GRHC;6,29;5,549;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2009-10;JUN;GRHC;6,06;5,311;;;2009-10;SEP;GRHC;6,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2009-10;JUN;GRCT;5,63;;;6;2009-10;SEP;GRCT;5,63;;;2,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2009-10;JUN;GRHC;5,53;;;;2009-10;SEP;GRHC;5,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2009-10;JUN;GRCT;6,06;5,561;;1;;;;;;;;2010-11;JUN;GRCT;6,06;;;3,5;2010-11;SEP;GRCT;6,06;;;;2011-12;JUN;GRCT;6,06;;;2,25;;;;;;;
6;2009-10;JUN;GRHC;6,35;6,485;;;;;;;;;;2010-11;JUN;GRHC;6,35;;;;;;;;;;;;;;;;;;;;;;;;
7;2009-10;JUN;GRHC;6,65;6,015;2,5;;;;;;;;;;;;;;;;;;;;;;;2011-12;JUN;A01;;;;;;;;;;;
8;2009-10;JUN;GRHC;6,12;5,922;3,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2009-10;JUN;GRHC;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;2009-10;JUN;GRHC;6,12;5,422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;2009-10;JUN;GRCT;6,24;5,994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;2009-10;JUN;GRHC;6,12;5,947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;2009-10;JUN;GRHC;7,2;6,695;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;2009-10;JUN;GRCT;6,88;6,428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;2009-10;JUN;GRHC;6;5,85;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2009-10;JUN;GRHC;6,06;5,486;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2009-10;JUN;GRHC;7,71;7,176;4,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;2009-10;JUN;GRCT;6,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;2009-10;JUN;GRHC;6,41;5,796;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;2009-10;JUN;GRHC;6,06;6,561;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;2009-10;JUN;GRHC;7,47;7,032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;2009-10;JUN;GRCT;6,88;6,128;;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;2009-10;JUN;GRHC;5,82;5,467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;2009-10;JUN;GRHC;6;5,725;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;2009-10;JUN;GRCT;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;2009-10;JUN;GRCT;7,88;7,503;;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;2009-10;JUN;GRHC;6,65;5,965;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;2009-10;JUN;GRHC;7,88;7,278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;2009-10;JUN;GRCT;6,71;6,651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;2009-10;JUN;GRCT;7,59;7,229;6;8,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;2009-10;JUN;GRHC;6,82;6,467;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;2009-10;JUN;GRCT;7,88;7,153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;2009-10;JUN;GRCT;5,56;5,561;;7,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;2009-10;JUN;GRHC;7,53;6,693;3,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;2009-10;JUN;GRHC;5,81;5,361;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;2009-10;JUN;GRHC;6,18;6,383;1,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;2009-10;JUN;GRHC;8,24;7,519;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;2009-10;JUN;GRHC;8,94;8,564;4,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;2009-10;JUN;GRHC;6,94;6,189;4,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;2009-10;JUN;GRHC;6,24;5,744;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;2009-10;JUN;GRHC;6,06;5,636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;2009-10;JUN;GRHC;7,19;6,589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;2009-10;JUN;GRAP;5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;2009-10;JUN;GRHC;7,94;7,314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;2009-10;JUN;GRCT;5,63;5,653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;2009-10;JUN;GRHC;6,31;5,886;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;2009-10;JUN;GRCT;6,29;6,074;;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;2009-10;JUN;GRAP;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;2009-10;JUN;GRHC;6,65;6,49;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;2009-10;JUN;GRHC;7,76;7,006;2,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;2009-10;JUN;GRHC;6,88;6,303;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;2009-10;JUN;GRCT;6,18;5,833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;2009-10;JUN;GRHC;7,29;7,249;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;2009-10;JUN;GRHC;6,4;;3,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;2009-10;JUN;GRCT;6,29;5,649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;2009-10;JUN;GRHC;6,88;6,353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;2009-10;JUN;GRHC;6,65;6,065;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;2009-10;JUN;GRHC;5,6;5,135;7,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;2009-10;JUN;GRHC;7,71;7,351;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;2009-10;JUN;GRHC;5,88;5,953;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;2009-10;JUN;GRCT;6,41;5,921;;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;2009-10;JUN;GRCT;6,24;6,119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;2009-10;JUN;GRHC;7,35;6,485;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;2009-10;JUN;GRCT;7,29;6,424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;2009-10;JUN;GRHC;6,76;6,581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;2009-10;JUN;GRCT;6,71;6,376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;2009-10;JUN;GRCT;6,88;6,378;;6,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;2009-10;JUN;GRHC;6,2;6,095;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;2009-10;JUN;GRHC;6,88;6,529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;2009-10;JUN;GRHC;7,18;6,508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;2009-10;JUN;GRCT;5,81;;6;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;2009-10;JUN;GRHC;6,76;6,206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;2009-10;JUN;GRCT;7,71;7,576;4,5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;2009-10;JUN;GRCT;5,6;;4,5;5,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;2009-10;JUN;GRHC;7,18;6,758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;2009-10;JUN;GRCT;6,76;6,706;;4,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;2009-10;JUN;GRCT;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;2009-10;JUN;GRHC;8,76;8,456;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;2009-10;JUN;GRHC;7,29;6,749;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;2009-10;JUN;GRHC;5,81;5,411;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;2009-10;JUN;GRHC;6,71;5,976;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;2009-10;JUN;GRHC;6,59;6,279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
